Virus name	Accession ID	Collection date	Location	Host	Additional location information	Gender	Patient age	Patient status	Passage	Specimen	Additional host information	Lineage	Clade
hCoV-19/Russia/StPetersburg-RII4984S/2020	EPI_ISL_430081	2020-04-10	Europe / Russia / Saint Petersburg	Human		Male	33	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4985S/2020	EPI_ISL_430082	2020-04-10	Europe / Russia / Saint Petersburg	Human		Female	71	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4988S/2020	EPI_ISL_430083	2020-04-10	Europe / Russia / Saint Petersburg	Human		Female	49	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5017V/2020	EPI_ISL_430084	2020-04-09	Europe / Russia / Saint Petersburg	Human		Female	26	Hospitalized	Vero P1	Nasopharyngeal swab		B.1.1.140	GR
hCoV-19/Russia/StPetersburg-RII5029S/2020	EPI_ISL_430085	2020-04-10	Europe / Russia / Saint Petersburg	Human		Female	41	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5033S/2020	EPI_ISL_430086	2020-04-10	Europe / Russia / Saint Petersburg	Human		Female	50	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5047S/2020	EPI_ISL_430087	2020-04-10	Europe / Russia / Saint Petersburg	Human		Female	56	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5169S/2020	EPI_ISL_430088	2020-04-09	Europe / Russia / Saint Petersburg	Human		Female	55	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5170S/2020	EPI_ISL_430089	2020-04-09	Europe / Russia / Saint Petersburg	Human		unknown	45	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5244S/2020	EPI_ISL_430090	2020-04-10	Europe / Russia / Saint Petersburg	Human		unknown	59	Hospitalized	Original	Nasopharyngeal swab		B.1.5	G
hCoV-19/Russia/StPetersburg-RII5247S/2020	EPI_ISL_430091	2020-04-10	Europe / Russia / Saint Petersburg	Human		Male	44	unknown	Original	Nasopharyngeal swab		B.1	GH
hCoV-19/Russia/StPetersburg-RII5633S/2020	EPI_ISL_430092	2020-04-14	Europe / Russia / Saint Petersburg	Human		Female	37	unknown	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5634S/2020	EPI_ISL_430093	2020-04-14	Europe / Russia / Saint Petersburg	Human		Female	64	unknown	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5635S/2020	EPI_ISL_430094	2020-04-14	Europe / Russia / Saint Petersburg	Human		Female	63	unknown	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5642S/2020	EPI_ISL_430095	2020-04-14	Europe / Russia / Saint Petersburg	Human		Female	52	unknown	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5643S/2020	EPI_ISL_430096	2020-04-14	Europe / Russia / Saint Petersburg	Human		Male	55	unknown	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5644S/2020	EPI_ISL_430097	2020-04-14	Europe / Russia / Saint Petersburg	Human		Male	55	unknown	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5654S/2020	EPI_ISL_430098	2020-04-14	Europe / Russia / Saint Petersburg	Human		Female	84	unknown	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5942S/2020	EPI_ISL_430099	2020-04-13	Europe / Russia / Saint Petersburg	Human		Male	35	unknown	Original	Nasopharyngeal swab		B.1.5	G
hCoV-19/Russia/StPetersburg-RII6027S/2020	EPI_ISL_430100	2020-04-14	Europe / Russia / Saint Petersburg	Human		Female	33	Hospitalized	Original	Nasopharyngeal swab		B.1.5	G
hCoV-19/Russia/StPetersburg-RII6031S/2020	EPI_ISL_430101	2020-04-14	Europe / Russia / Saint Petersburg	Human		unknown	54	Hospitalized	Original	Nasopharyngeal swab		B.1.5	G
hCoV-19/Russia/StPetersburg-RII6039S/2020	EPI_ISL_430102	2020-04-14	Europe / Russia / Saint Petersburg	Human		Female	78	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII6043S/2020	EPI_ISL_430103	2020-04-14	Europe / Russia / Saint Petersburg	Human		Female	30	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/England/NOTT-10FC84/2020	EPI_ISL_432706	2020-04-08	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1.1	GR
hCoV-19/England/SHEF-C11BD/2020	EPI_ISL_432722	2020-04-07	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1.1	GR
hCoV-19/Scotland/EDB894/2020	EPI_ISL_432868	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/Scotland/EDB895/2020	EPI_ISL_432869	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.26	L
hCoV-19/Scotland/EDB896/2020	EPI_ISL_432870	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.34	V
hCoV-19/Scotland/EDB897/2020	EPI_ISL_432871	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.74	G
hCoV-19/Scotland/EDB899/2020	EPI_ISL_432872	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.157	G
hCoV-19/Scotland/EDB901/2020	EPI_ISL_432873	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/Scotland/EDB909/2020	EPI_ISL_432874	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/Scotland/EDB910/2020	EPI_ISL_432875	2020-04-06	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1	G
hCoV-19/Scotland/EDB912/2020	EPI_ISL_432876	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.1.8	GR
hCoV-19/Scotland/EDB914/2020	EPI_ISL_432877	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/Scotland/EDB918/2020	EPI_ISL_432878	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/Scotland/EDB922/2020	EPI_ISL_432881	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/Scotland/EDB924/2020	EPI_ISL_432883	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/Scotland/EDB927/2020	EPI_ISL_432886	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/Scotland/EDB945/2020	EPI_ISL_432890	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.89	G
hCoV-19/Scotland/EDB964/2020	EPI_ISL_432891	2020-04-06	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/Scotland/EDB971/2020	EPI_ISL_432892	2020-04-06	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/Scotland/EDB972/2020	EPI_ISL_432893	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/Scotland/EDB973/2020	EPI_ISL_432894	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.147	G
hCoV-19/Scotland/EDB986/2020	EPI_ISL_432895	2020-04-06	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/Scotland/EDB996/2020	EPI_ISL_432897	2020-04-06	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/Scotland/EDB997/2020	EPI_ISL_432898	2020-04-06	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/Scotland/EDB999/2020	EPI_ISL_432899	2020-04-06	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/USA/AK-PHL178/2020	EPI_ISL_437517	2020-04-08	North America / USA / Alaska / Anchorage / Mat-Su	Human		unknown	unknown	unknown	Original	Nasopharyngeal swab		B.1.38	GH
hCoV-19/USA/OR-OHSU-0012/2020	EPI_ISL_437521	2020-04-08	North America / USA / Oregon / Washington County	Human		Female	44	unknown	Original	Nasopharyngeal swab		B.30	V
hCoV-19/USA/OR-OHSU-0023/2020	EPI_ISL_437523	2020-04-07	North America / USA / Oregon / Multnomah County	Human		Female	38	unknown	Original	Nasopharyngeal swab		B.30	V
hCoV-19/USA/OR-OHSU-0005/2020	EPI_ISL_437529	2020-04-09	North America / USA / Oregon / Washington County	Human		Female	25	unknown	Original	Nasopharyngeal swab		B.1.5	G
hCoV-19/USA/OR-OHSU-0008/2020	EPI_ISL_437535	2020-04-08	North America / USA / Oregon / Washington County	Human		Female	36	unknown	Original	Nasopharyngeal swab		B.1.134	G
hCoV-19/India/WB-S12/2020	EPI_ISL_437539	2020-04-06	Asia / India / West Bengal / East Medinipur	Human	Patient infected while traveling	Female	27	unknown	Original			B.1.5	G
hCoV-19/USA/CA-SR0228/2020	EPI_ISL_437574	2020-04-07	North America / USA / California / San Diego County	Human		unknown	unknown	unknown	Original	Nasopharyngeal swab		B.1.166	GH
hCoV-19/USA/CA-SR0225/2020	EPI_ISL_437575	2020-04-06	North America / USA / California / San Diego County	Human		unknown	unknown	unknown	Original	Nasopharyngeal swab		B.1.241	G
hCoV-19/Scotland/CVR1615/2020	EPI_ISL_438844	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			A.2.3	S
hCoV-19/Scotland/CVR1692/2020	EPI_ISL_438845	2020-04-05	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.32	V
hCoV-19/Scotland/CVR1816/2020	EPI_ISL_438849	2020-04-07	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			A.2.3	S
hCoV-19/Scotland/CVR1843/2020	EPI_ISL_438850	2020-04-06	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/Scotland/CVR1951/2020	EPI_ISL_438860	2020-04-07	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.45	L
hCoV-19/Scotland/CVR1997/2020	EPI_ISL_438868	2020-04-09	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.45	L
hCoV-19/Scotland/CVR2012/2020	EPI_ISL_438870	2020-04-09	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.222	G
hCoV-19/Scotland/CVR2124/2020	EPI_ISL_438875	2020-04-10	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B	L
hCoV-19/Scotland/CVR2153/2020	EPI_ISL_438877	2020-04-11	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.90	G
hCoV-19/Scotland/CVR2179/2020	EPI_ISL_438878	2020-04-11	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.222	G
hCoV-19/Scotland/CVR2215/2020	EPI_ISL_438879	2020-04-12	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			A.2.3	S
hCoV-19/Scotland/CVR2260/2020	EPI_ISL_438884	2020-04-11	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B	L
hCoV-19/Scotland/CVR2347/2020	EPI_ISL_438890	2020-04-13	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.70	G
hCoV-19/Scotland/CVR2349/2020	EPI_ISL_438891	2020-04-13	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.1.10	GR
hCoV-19/Scotland/CVR2357/2020	EPI_ISL_438892	2020-04-13	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.215	G
hCoV-19/Scotland/CVR2367/2020	EPI_ISL_438893	2020-04-14	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.93	G
hCoV-19/Scotland/CVR2372/2020	EPI_ISL_438894	2020-04-13	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/Scotland/CVR2378/2020	EPI_ISL_438895	2020-04-13	Europe / United Kingdom / Scotland	Human		unknown	unknown	unknown	Original			B.1.157	G
hCoV-19/England/SHEF-C9935/2020	EPI_ISL_442043	2020-04-12	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/England/CAMB-7D077/2020	EPI_ISL_442045	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	G
hCoV-19/England/CAMB-7CBD1/2020	EPI_ISL_442047	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1.213	GR
hCoV-19/England/CAMB-7C7A0/2020	EPI_ISL_442048	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.40	V
hCoV-19/England/CAMB-7CA89/2020	EPI_ISL_442049	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1.13	GR
hCoV-19/England/CAMB-7D1DE/2020	EPI_ISL_442051	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	GH
hCoV-19/England/CAMB-7BE24/2020	EPI_ISL_442053	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7C8AD/2020	EPI_ISL_442054	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7C7CE/2020	EPI_ISL_442055	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	G
hCoV-19/England/CAMB-7E0FE/2020	EPI_ISL_442056	2020-04-07	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	GH
hCoV-19/England/CAMB-7CC56/2020	EPI_ISL_442057	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/England/CAMB-7D1B0/2020	EPI_ISL_442058	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7D059/2020	EPI_ISL_442059	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7BD81/2020	EPI_ISL_442062	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	GH
hCoV-19/England/CAMB-7CAA7/2020	EPI_ISL_442064	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7D271/2020	EPI_ISL_442067	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7C99B/2020	EPI_ISL_442068	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7E01C/2020	EPI_ISL_442070	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.3	L
hCoV-19/England/CAMB-7C9E6/2020	EPI_ISL_442074	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	G
hCoV-19/England/CAMB-7BBB4/2020	EPI_ISL_442075	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	G
hCoV-19/England/CAMB-7C8CB/2020	EPI_ISL_442076	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			A.2	S
hCoV-19/England/CAMB-7C728/2020	EPI_ISL_442077	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	GH
hCoV-19/England/CAMB-7CDF9/2020	EPI_ISL_442078	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7CB1D/2020	EPI_ISL_442079	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7DE40/2020	EPI_ISL_442081	2020-04-07	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.40	V
hCoV-19/England/CAMB-7CB3B/2020	EPI_ISL_442082	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/England/CAMB-7DE6E/2020	EPI_ISL_442083	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.142	G
hCoV-19/England/CAMB-7DD43/2020	EPI_ISL_442084	2020-04-07	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7CA10/2020	EPI_ISL_442085	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	GH
hCoV-19/England/CAMB-7BE06/2020	EPI_ISL_442086	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7CAF2/2020	EPI_ISL_442088	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7BC0C/2020	EPI_ISL_442089	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7D226/2020	EPI_ISL_442090	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B	O
hCoV-19/England/CAMB-7CAC5/2020	EPI_ISL_442091	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.40	V
hCoV-19/England/CAMB-7DE04/2020	EPI_ISL_442092	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7E049/2020	EPI_ISL_442093	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.5	G
hCoV-19/England/CAMB-7D01D/2020	EPI_ISL_442095	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	GH
hCoV-19/England/CAMB-7C7EC/2020	EPI_ISL_442098	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.40	V
hCoV-19/England/CAMB-7C782/2020	EPI_ISL_442103	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.40	V
hCoV-19/England/CAMB-7BBC3/2020	EPI_ISL_442105	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7D666/2020	EPI_ISL_442106	2020-04-07	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7BD18/2020	EPI_ISL_442107	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.356	GH
hCoV-19/England/CAMB-7D138/2020	EPI_ISL_442108	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.3	L
hCoV-19/England/CAMB-7BE42/2020	EPI_ISL_442109	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7D03B/2020	EPI_ISL_442111	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.40	V
hCoV-19/England/CAMB-7BBE1/2020	EPI_ISL_442112	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.5	GH
hCoV-19/England/CAMB-7D5C3/2020	EPI_ISL_442113	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	G
hCoV-19/England/CAMB-7C9B9/2020	EPI_ISL_442114	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1.10	GR
hCoV-19/England/CAMB-7B8DB/2020	EPI_ISL_442117	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7C96E/2020	EPI_ISL_442120	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	GH
hCoV-19/England/CAMB-7CB77/2020	EPI_ISL_442121	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7BD54/2020	EPI_ISL_442122	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1.313	GR
hCoV-19/England/CAMB-7D262/2020	EPI_ISL_442123	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.250	G
hCoV-19/England/CAMB-7C8DA/2020	EPI_ISL_442124	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7E094/2020	EPI_ISL_442125	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	G
hCoV-19/England/CAMB-7BE33/2020	EPI_ISL_442126	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1.313	GR
hCoV-19/England/CAMB-7D60C/2020	EPI_ISL_442129	2020-04-07	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7E0A3/2020	EPI_ISL_442133	2020-04-06	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.40	V
hCoV-19/England/CAMB-7BDEB/2020	EPI_ISL_442134	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7BCDF/2020	EPI_ISL_442139	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7CAD4/2020	EPI_ISL_442140	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7D174/2020	EPI_ISL_442142	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7CBFF/2020	EPI_ISL_442143	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1	GH
hCoV-19/England/CAMB-7CA2F/2020	EPI_ISL_442147	2020-04-05	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/England/CAMB-7D244/2020	EPI_ISL_442149	2020-04-07	Europe / United Kingdom / England	Human		unknown	unknown	unknown	Original			B.1.1	GR
